"wykaz","pozycja na liście","Tytuł","ISSN","Liczba punktów"
"A","44","ACM TRANSACTIONS ON DATABASE SYSTEMS","0362-5915","30"
"A","45","ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS","1084-4309","20"
"A","46","ACM Transactions on Embedded Computing Systems","1539-9087","30"
"A","47","ACM TRANSACTIONS ON GRAPHICS","0730-0301","50"
"A","48","ACM Transactions on Information and System Security","1094-9224","25"
"A","49","ACM TRANSACTIONS ON INFORMATION SYSTEMS","1046-8188","30"
"A","50","ACM Transactions on Internet Technology","1533-5399","25"
"A","51","ACM Transactions on Knowledge Discovery from Data","1556-4681","35"
"A","52","ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE","0098-3500","45"
"A","53","ACM Transactions on Modeling and Computer Simulation","1049-3301","25"
"A","54","ACM Transactions on Multimedia Computing Communications and Applications","1551-6857","30"
"A","55","ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS","0164-0925","25"
"A","56","ACM Transactions on Reconfigurable Technology and Systems","1936-7406","15"
"A","57","ACM Transactions on Sensor Networks","1550-4859","40"
"A","58","ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY","1049-331X","35"
"A","59","ACM Transactions on Storage","1553-3077","25"
"A","60","ACM Transactions on the Web","1559-1131","40"
"A","61","ACOUSTICAL PHYSICS","1063-7710","15"
"A","62","Acoustics Australia","0814-6039","15"
"A","63","ACS Applied Materials & Interfaces","1944-8244","40"
"A","64","ACS Catalysis","2155-5435","35"
"A","65","ACS Chemical Biology","1554-8929","35"
"A","66","ACS Chemical Neuroscience","1948-7193","35"
"A","67","ACS Combinatorial Science","2156-8952","40"
"A","68","ACS Medicinal Chemistry Letters","1948-5875","35"
"A","69","ACS Nano","1936-0851","45"
"A","70","ACSMS HEALTH & FITNESS JOURNAL","1091-5397","15"
"A","71","Acta  Biologica  Cracoviensia  Series  Botanica","0001-5296","20"
"A","72","Acta  Geophysica","1895-6572","20"
"A","73","Acta  Otorhinolaryngologica  Italica","0392-100X","15"
"A","74","ACTA  PHYSICA  POLONICA  A","0587-4246","15"
"A","75","Acta  Poloniae  Pharmaceutica  -  Drug  Research","0001-6837","15"
"A","76","Acta  Scientiarum  Polonorum  Hortorum  Cultus","1644-0692","20"
"A","77","Acta  Societatis  Botanicorum  Poloniae","0001-6977","15"
"A","78","ACTA ACUST UNITED AC","1610-1928","20"
"A","79","ACTA ADRIATICA","0001-5113","15"
"A","80","ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE","0906-4702","20"
"A","81","ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE","0906-4710","20"
"A","82","ACTA ALIMENTARIA","0139-3006","15"
"A","83","ACTA ANAESTHESIOLOGICA SCANDINAVICA","0001-5172","30"
"A","84","ACTA APPLICANDAE MATHEMATICAE","0167-8019","25"
"A","85","ACTA ARITHMETICA","0065-1036","20"
"A","86","ACTA ASTRONAUTICA","0094-5765","25"
"A","87","ACTA ASTRONOMICA","0001-5237","30"
"A","88","ACTA BIOCHIMICA ET BIOPHYSICA SINICA","1672-9145","20"
"A","89","ACTA BIOCHIMICA POLONICA","0001-527X","15"
"A","90","Acta Bioethica","1726-569X","15"
"A","91","ACTA BIOLOGICA HUNGARICA","0236-5383","15"
"A","92","Acta Biomaterialia","1742-7061","45"
"A","93","ACTA BIOQUIMICA CLINICA LATINOAMERICANA","0325-2957","15"
"A","94","ACTA BIOTHEORETICA","0001-5342","15"
"A","95","Acta Botanica Brasilica","0102-3306","15"
"A","96","ACTA BOTANICA CROATICA","0365-0588","15"
"A","97","ACTA BOTANICA GALLICA","1253-8078","15"
"A","98","Acta Botanica Mexicana","0187-7151","15"
"A","99","ACTA CARDIOLOGICA","0001-5385","15"
"A","100","Acta Cardiologica Sinica","1011-6842","15"
"A","101","ACTA CARSOLOGICA","0583-6050","15"
"A","102","ACTA CHIMICA SINICA","0567-7351","15"
"A","103","ACTA CHIMICA SLOVENICA","1318-0207","20"
"A","104","ACTA CHIROPTEROLOGICA","1508-1109","25"
"A","105","ACTA CHIRURGICA BELGICA","0001-5458","15"
"A","106","ACTA CHROMATOGRAPHICA","1233-2356","15"
"A","107","Acta Cirurgica Brasileira","0102-8650","15"
"A","108","ACTA CLINICA BELGICA","0001-5512","20"
"A","109","Acta Clinica Croatica","0353-9466","15"
"A","110","ACTA CRYSTALLOGRAPHICA SECTION A","0108-7673","50"
"A","111","ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE","0108-7681","25"
"A","112","ACTA CRYSTALLOGRAPHICA SECTION C-CRYSTAL STRUCTURE COMMUNICATIONS","0108-2701","15"
"A","113","ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY","0907-4449","40"
"A","114","Acta Crystallographica Section F-Structural Biology and Crystallization Communications","1744-3091","15"
"A","115","ACTA CYTOLOGICA","0001-5547","15"
"A","116","ACTA DERMATO-VENEREOLOGICA","0001-5555","40"
"A","117","Acta Dermatovenerologica Croatica","1330-027X","15"
"A","118","ACTA DIABETOLOGICA","0940-5429","30"
"A","119","Acta Endocrinologica-Bucharest","1841-0987","15"
"A","120","Acta Endoscopica","0240-642X","15"
"A","121","ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE","0374-1036","25"
"A","122","ACTA ETHOLOGICA","0873-9749","20"
"A","123","ACTA GASTRO-ENTEROLOGICA BELGICA","0001-5644","15"
"A","124","Acta Geodaetica et Geophysica Hungarica","1217-8977","15"
"A","125","Acta Geographica Slovenica-Geografski Zbornik","1581-6613","15"
"A","126","ACTA GEOLOGICA POLONICA","0001-5709","25"
"A","127","ACTA GEOLOGICA SINICA-ENGLISH EDITION","1000-9515","25"
"A","128","Acta Geotechnica","1861-1125","25"
"A","129","Acta Geotechnica Slovenica","1854-0171","15"
"A","130","ACTA HAEMATOLOGICA","0001-5792","15"
"A","131","Acta Herpetologica","1827-9635","15"
"A","132","ACTA HISTOCHEMICA","0065-1281","15"
"A","133","ACTA HISTOCHEMICA ET CYTOCHEMICA","0044-5991","15"
"A","134","ACTA HISTRIAE","1318-0185","20"
"A","135","ACTA ICHTHYOLOGICA ET PISCATORIA","0137-1592","15"
"A","136","ACTA INFORMATICA","0001-5903","15"
"A","137","ACTA LINGUIST HUNGAR","1216-8076","20"
"A","138","ACTA MATERIALIA","1359-6454","45"
"A","139","ACTA MATHEMATICA","0001-5962","50"
"A","140","ACTA MATHEMATICA HUNGARICA","0236-5294","20"
"A","141","ACTA MATHEMATICA SCIENTIA","0252-9602","20"
"A","142","ACTA MATHEMATICA SINICA-ENGLISH SERIES","1439-8516","25"
"A","143","Acta Mathematicae Applicatae Sinica-English Series","0168-9673","15"
"A","144","ACTA MECHANICA","0001-5970","25"
"A","145","ACTA MECHANICA SINICA","0567-7718","25"
"A","146","ACTA MECHANICA SOLIDA SINICA","0894-9166","20"
"A","147","Acta Medica Mediterranea","0393-6384","15"
"A","148","ACTA MEDICA OKAYAMA","0386-300X","15"
"A","149","Acta Medica Portuguesa","1646-0758","15"
"A","150","ACTA METALLURGICA SINICA","0412-1961","25"
"A","151","Acta Metallurgica Sinica-English Letters","1006-7191","20"
"A","152","Acta Meteorologica Sinica","0894-0525","15"
"A","153","ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA","1217-8950","15"
"A","154","Acta Montanistica Slovaca","1335-1788","15"
"A","155","Acta Naturae","2075-8251","15"
"A","156","ACTA NEUROBIOLOGIAE EXPERIMENTALIS","0065-1400","15"
"A","157","ACTA NEUROCHIRURGICA","0001-6268","25"
"A","158","ACTA NEUROLOGICA BELGICA","0300-9009","15"
"A","159","ACTA NEUROLOGICA SCANDINAVICA","0001-6314","25"
"A","160","ACTA NEUROPATHOLOGICA","0001-6322","45"
"A","161","ACTA NEUROPSYCHIATRICA","0924-2708","15"
"A","162","ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA","0001-6349","25"
"A","163","ACTA OCEANOLOGICA SINICA","0253-505X","15"
"A","164","ACTA ODONTOLOGICA SCANDINAVICA","0001-6357","25"
"A","165","ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY","1146-609X","20"
"A","166","ACTA OECONOMICA","0001-6373","15"
"A","167","Acta of Bioengineering and Biomechanics","1509-409X","15"
"A","168","ACTA ONCOLOGICA","0284-186X","25"
"A","169","ACTA OPHTHALMOLOGICA","1755-375X","35"
"A","170","ACTA ORNITHOLOGICA","0001-6454","30"
"A","171","Acta Orthopaedica","1745-3674","35"
"A","172","Acta Orthopaedica Belgica","0001-6462","20"
"A","173","Acta Orthopaedica et Traumatologica Turcica","1017-995X","15"
"A","174","ACTA OTO-LARYNGOLOGICA","0001-6489","20"
"A","175","ACTA PAEDIATRICA","0803-5253","30"
"A","176","ACTA PALAEONTOLOGICA POLONICA","0567-7920","30"
"A","177","ACTA PARASITOLOGICA","1230-2821","15"
"A","178","Acta Paulista de Enfermagem","0103-2100","15"
"A","179","ACTA PETROLOGICA SINICA","1000-0569","25"
"A","180","ACTA PHARMACEUTICA","1330-0075","20"
"A","181","ACTA PHARMACOLOGICA SINICA","1671-4083","30"
"A","182","ACTA PHYSICA POLONICA B","0587-4254","20"
"A","183","ACTA PHYSICA SINICA","1000-3290","20"
"A","184","ACTA PHYSICA SLOVACA","0323-0465","40"
"A","185","ACTA PHYSICO-CHIMICA SINICA","1000-6818","15"
"A","186","ACTA PHYSIOLOGIAE PLANTARUM","0137-5881","25"
"A","187","Acta Physiologica","1748-1708","35"
"A","188","ACTA PHYSIOLOGICA HUNGARICA","0231-424X","15"
"A","189","Acta Politica","0001-6810","30"
"A","190","ACTA POLYMERICA SINICA","1000-3304","15"
"A","191","Acta Polytechnica Hungarica","1785-8860","20"
"A","192","ACTA PROTOZOOLOGICA","0065-1583","15"
"A","193","ACTA PSYCHIAT SCAND","0001-690X","40"
"A","194","ACTA PSYCHOL","0001-6918","30"
"A","195","ACTA RADIOLOGICA","0284-1851","20"
"A","196","Acta Reumatologica Portuguesa","0303-464X","15"
"A","197","Acta Scientiae Veterinariae","1678-0345","15"
"A","198","ACTA SCIENTIARUM-AGRONOMY","1807-8621","15"
"A","199","ACTA SCIENTIARUM-TECHNOLOGY","1806-2563","20"
"A","200","ACTA SOCIOLOGICA","0001-6993","30"
"A","201","ACTA THERIOLOGICA","0001-7051","25"
"A","202","ACTA TROPICA","0001-706X","35"
"A","203","ACTA VETERINARIA BRNO","0001-7213","20"
"A","204","ACTA VETERINARIA HUNGARICA","0236-6290","25"
"A","205","ACTA VETERINARIA SCANDINAVICA","0044-605X","30"
"A","206","ACTA VETERINARIA-BEOGRAD","0567-8315","15"
"A","207","ACTA VIROLOGICA","0001-723X","15"
"A","208","ACTA ZOOLOGICA","0001-7272","25"
"A","209","ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE","1217-8837","15"
"A","210","ACTA ZOOLOGICA BULGARICA","0324-0770","15"
"A","211","ACTAS ESP PSIQUIATRI","1139-9287","15"
"A","212","Actas Urologicas Espanolas","0210-4806","15"
"A","213","ACTES DE LA RECHERCHE EN SCIENCES SOCIALES","0335-5322","15"
"A","214","Action Research","1476-7503","25"
"A","215","ACTUALITE CHIMIQUE","0151-9093","15"
"A","216","ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH","0360-1293","20"
"A","217","Acupuncture in Medicine","0964-5284","20"
"A","218","Ad Hoc & Sensor Wireless Networks","1551-9899","15"
"A","219","Ad Hoc Networks","1570-8705","35"
"A","220","ADANSONIA","1280-8571","15"
"A","221","ADAPT BEHAV","1059-7123","25"
"A","222","ADAPTED PHYSICAL ACTIVITY QUARTERLY","0736-5829","30"
"A","223","ADDICT BEHAV","0306-4603","30"
"A","224","ADDICTION","0965-2140","45"
"A","225","ADDICTION BIOLOGY","1355-6215","45"
"A","226","ADDICTION RESEARCH & THEORY","1606-6359","25"
"A","227","Adicciones","0214-4840","20"
"A","228","ADMIN SCI QUART","0001-8392","50"
"A","229","ADMINISTRATION & SOCIETY","0095-3997","25"
"A","230","Administration and Policy in Mental Health and Mental Health Services Research","0894-587X","35"
"A","231","ADMINISTRATION IN SOCIAL WORK","0364-3107","20"
"A","232","ADMINISTRATIVE LAW REVIEW","0001-8368","25"
"A","233","ADSORPTION SCIENCE & TECHNOLOGY","0263-6174","15"
"A","234","ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY","0929-5607","30"
"A","235","ADULT EDUC QUART","0741-7136","20"
"A","236","ADV CHILD DEV BEHAV","0065-2407","15"
"A","237","ADV EXP SOC PSYCHOL","0065-2601","50"
"A","238","ADV HEALTH SCI EDUC","1382-4996","40"
"A","239","ADVANCED COMPOSITE MATERIALS","0924-3046","20"
"A","240","ADVANCED COMPOSITES LETTERS","0963-6935","15"
"A","241","ADVANCED DRUG DELIVERY REVIEWS","0169-409X","50"
"A","242","Advanced Energy Materials","1614-6832","45"
"A","243","ADVANCED ENGINEERING INFORMATICS","1474-0346","30"
"A","244","ADVANCED ENGINEERING MATERIALS","1438-1656","30"
"A","245","ADVANCED FUNCTIONAL MATERIALS","1616-301X","45"
"A","246","ADVANCED MATERIALS","0935-9648","45"
"A","247","ADVANCED MATERIALS & PROCESSES","0882-7958","15"
"A","248","ADVANCED NONLINEAR STUDIES","1536-1365","25"
"A","249","ADVANCED POWDER TECHNOLOGY","0921-8831","25"
"A","250","ADVANCED ROBOTICS","0169-1864","20"
"A","251","Advanced Steel Construction","1816-112X","20"
"A","252","ADVANCED SYNTHESIS & CATALYSIS","1615-4150","45"
"A","253","Advances  in  Clinical  and  Experimental  Medicine","1899-5276","15"
"A","254","Advances in Agronomy","0065-2113","50"
"A","255","ADVANCES IN ANATOMIC PATHOLOGY","1072-4109","35"
"A","256","Advances in Anatomy Embryology and Cell Biology","0301-5556","30"
"A","257","Advances in Applied Ceramics","1743-6753","30"
"A","258","Advances in Applied Clifford Algebras","0188-7009","15"
"A","259","ADVANCES IN APPLIED MATHEMATICS","0196-8858","25"
"A","260","Advances in Applied Mathematics and Mechanics","2070-0733","20"
"A","261","Advances in Applied Mechanics","0065-2156","50"
"A","262","Advances in Applied Microbiology","0065-2164","40"
"A","263","ADVANCES IN APPLIED PROBABILITY","0001-8678","20"
"A","264","ADVANCES IN ATMOSPHERIC SCIENCES","0256-1530","20"
"A","265","Advances In Atomic Molecular and Optical Physics","1049-250X","40"
"A","266","Advances in Botanical Research","0065-2296","30"
"A","267","Advances in Calculus of Variations","1864-8258","30"
"A","268","Advances in Cancer Research","0065-230X","40"
"A","269","Advances in Carbohydrate Chemistry and Biochemistry","0065-2318","45"
"A","270","Advances in Catalysis","0360-0564","35"
"A","271","ADVANCES IN CEMENT RESEARCH","0951-7197","25"
"A","272","Advances in Chemical Physics","0065-2385","40"
"A","273","Advances in Chromatography","0065-2415","20"
"A","274","ADVANCES IN CHRONIC KIDNEY DISEASE","1548-5595","30"
"A","275","Advances in Clinical Chemistry","0065-2423","45"
"A","276","ADVANCES IN COLLOID AND INTERFACE SCIENCE","0001-8686","40"
"A","277","ADVANCES IN COMPLEX SYSTEMS","0219-5259","25"
"A","278","ADVANCES IN COMPUTATIONAL MATHEMATICS","1019-7168","35"
"A","279","Advances in Computers","0065-2458","15"
"A","280","Advances in Condensed Matter Physics","1687-8108","20"
"A","281","Advances in Data Analysis and Classification","1862-5347","25"
"A","282","Advances in Difference Equations","1687-1847","30"
"A","283","Advances in Differential Equations","1079-9389","25"
"A","284","Advances in Ecological Research","0065-2504","30"
"A","285","Advances in Electrical and Computer Engineering","1582-7445","15"
"A","286","ADVANCES IN ENGINEERING SOFTWARE","0965-9978","25"
"A","287","Advances in Experimental Medicine and Biology","0065-2598","25"
"A","288","Advances in Genetics","0065-2660","35"
"A","289","ADVANCES IN GEOMETRY","1615-715X","15"
"A","290","Advances in Geophysics","0065-2687","25"
"A","291","Advances in Heterocyclic Chemistry","0065-2725","30"
"A","292","Advances in High Energy Physics","1687-7357","25"
"A","293","Advances in Imaging and Electron Physics","1076-5670","20"
"A","294","Advances in Immunology","0065-2776","40"
"A","295","Advances in Inorganic Chemistry","0898-8838","35"
"A","296","Advances in Insect Physiology","0065-2806","50"
"A","297","Advances in Life Course Research","1569-4909","25"
"A","298","Advances in Marine Biology","0065-2881","45"
"A","299","Advances in Materials Science and Engineering","1687-6822","15"
"A","300","Advances in Mathematical Physics","1687-9120","15"
"A","301","ADVANCES IN MATHEMATICS","0001-8708","45"
"A","302","Advances in Mathematics of Communications","1930-5346","20"
"A","303","Advances in Mechanical Engineering","1687-8132","25"
"A","304","Advances in Medical Sciences","1896-1126","15"
"A","305","Advances in Meteorology","1687-9309","15"
"A","306","Advances in Microbial Physiology","0065-2911","40"
"A","307","ADVANCES IN NURSING SCIENCE","0161-9268","25"
"A","308","Advances in Nutrition","2161-8313","35"
"A","309","Advances in Organometallic Chemistry","0065-3055","50"
"A","310","Advances in Parasitology","0065-308X","40"
"A","311","Advances in Physical Organic Chemistry","0065-3160","30"
"A","312","ADVANCES IN PHYSICS","0001-8732","50"
"A","313","ADVANCES IN PHYSIOLOGY EDUCATION","1043-4046","25"
"A","314","Advances in Polymer Science","0065-3195","45"
"A","315","ADVANCES IN POLYMER TECHNOLOGY","0730-6679","25"
"A","316","Advances in Protein Chemistry and Structural Biology","1876-1623","25"
"A","317","Advances in Quantum Chemistry","0065-3276","20"
"A","318","Advances in Skin & Wound Care","1527-7941","30"
"A","319","ADVANCES IN SPACE RESEARCH","0273-1177","20"
"A","320","Advances in Strategic Management-A Research Annual","0742-3322","15"
"A","321","ADVANCES IN STRUCTURAL ENGINEERING","1369-4332","20"
"A","322","Advances in the Study of Behavior","0065-3454","45"
"A","323","Advances in Theoretical and Mathematical Physics","1095-0761","25"
"A","324","ADVANCES IN THERAPY","0741-238X","20"
"A","325","Advances in Vibration Engineering","0972-5768","15"
"A","326","Advances in Virus Research","0065-3527","35"
"A","327","ADVANCES IN WATER RESOURCES","0309-1708","45"
"A","328","Aeolian Research","1875-9637","30"
"A","329","Aequationes Mathematicae","0001-9054","15"
"A","330","AEROBIOLOGIA","0393-5965","25"
"A","331","AERONAUTICAL JOURNAL","0001-9240","20"
"A","332","AEROSOL SCIENCE AND TECHNOLOGY","0278-6826","30"
"A","333","AEROSPACE AMERICA","0740-722X","15"
"A","334","AEROSPACE SCIENCE AND TECHNOLOGY","1270-9638","35"
"A","335","AESTHETIC PLASTIC SURGERY","0364-216X","30"
"A","336","Aesthetic Surgery Journal","1090-820X","25"
"A","337","AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS","1434-8411","20"
"A","338","AFFILIA J WOM SOC WO","0886-1099","20"
"A","339","AFINIDAD","0001-9704","15"
"A","340","AFR ASIAN STUD","1569-2094","20"
"A","341","AFR STUD REV","0002-0206","25"
"A","342","AFR STUD-UK","0002-0184","25"
"A","343","AFRICA","0001-9720","30"
"A","344","Africa Spectrum","0002-0397","25"
"A","345","AFRICAN AFFAIRS","0001-9909","45"
"A","346","AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT","1017-6772","15"
"A","347","AFRICAN ENTOMOLOGY","1021-3589","20"
"A","348","African Health Sciences","1680-6905","20"
"A","349","AFRICAN INVERTEBRATES","1681-5556","20"
"A","350","AFRICAN JOURNAL OF AQUATIC SCIENCE","1608-5914","15"
"A","351","AFRICAN JOURNAL OF ECOLOGY","0141-6707","15"
"A","352","AFRICAN JOURNAL OF HERPETOLOGY","2156-4574","15"
"A","353","African Journal of Library Archives and Information Science","0795-4778","15"
"A","354","AFRICAN JOURNAL OF MARINE SCIENCE","1814-232X","20"
"A","355","African Journal of Psychiatry","1994-8220","20"
"A","356","AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE","1022-0119","15"
"A","357","African Journal of Traditional Complementary and Alternative Medicines","0189-6016","15"
"A","358","African Natural History","1816-8396","15"
"A","359","AFRICAN ZOOLOGY","1562-7020","20"
"A","360","Africana Linguistica","0065-4124","25"
"A","361","AGE","0161-9152","40"
"A","362","AGE AND AGEING","0002-0729","35"
"A","363","AGEING RESEARCH REVIEWS","1568-1637","45"
"A","364","AGEING SOC","0144-686X","25"
"A","365","AGGRESS VIOLENT BEH","1359-1789","40"
"A","366","AGGRESSIVE BEHAV","0096-140X","30"
"A","367","AGING CELL","1474-9718","40"
"A","368","AGING CLINICAL AND EXPERIMENTAL RESEARCH","1594-0667","20"
"A","369","Aging Male","1368-5538","25"
"A","370","AGING MENT HEALTH","1360-7863","25"
"A","371","AGING NEUROPSYCHOL C","1382-5585","20"
"A","372","Aging-US","1945-4589","30"
"A","373","AGR HIST","0002-1482","15"
"A","374","AGR HUM VALUES","0889-048X","40"
"A","375","Agrarforschung Schweiz","1663-7852","15"
"A","376","Agrekon","0303-1853","15"
"A","377","Agribusiness","0742-4477","20"
"A","378","AGRICULTURAL AND FOOD SCIENCE","1459-6067","25"
"A","379","AGRICULTURAL AND FOREST ENTOMOLOGY","1461-9555","35"
"A","380","AGRICULTURAL AND FOREST METEOROLOGY","0168-1923","45"
"A","381","AGRICULTURAL ECONOMICS","0169-5150","30"
"A","382","Agricultural Sciences in China","1671-2927","30"
"A","383","AGRICULTURAL SYSTEMS","0308-521X","45"
"A","384","AGRICULTURAL WATER MANAGEMENT","0378-3774","35"
"A","385","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","0167-8809","40"
"A","386","AGRO FOOD INDUSTRY HI-TECH","1722-6996","15"
"A","387","AGROCHIMICA","0002-1857","15"
"A","388","AGROCIENCIA","1405-3195","20"
"A","389","AGROFORESTRY SYSTEMS","0167-4366","30"
"A","390","Agronomy for Sustainable Development","1774-0746","40"
"A","391","AGRONOMY JOURNAL","0002-1962","35"
"A","392","AI COMMUNICATIONS","0921-7126","15"
"A","393","AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING","0890-0604","20"
"A","394","AI MAGAZINE","0738-4602","20"
"A","395","AIAA JOURNAL","0001-1452","35"
"A","396","AIBR-Revista de Antropologia Iberoamericana","1695-9752","15"
"A","397","AICHE JOURNAL","0001-1541","35"
"A","398","AIDS","0269-9370","40"
"A","399","AIDS AND BEHAVIOR","1090-7165","40"
"A","400","AIDS CARE","0954-0121","30"
"A","401","AIDS EDUCATION AND PREVENTION","0899-9546","35"
"A","402","AIDS PATIENT CARE AND STDS","1087-2914","35"
"A","403","AIDS RESEARCH AND HUMAN RETROVIRUSES","0889-2229","20"
"A","404","AIDS REVIEWS","1139-6121","35"
"A","405","AIP Advances","2158-3226","25"
"A","406","Air Quality Atmosphere and Health","1873-9318","25"
"A","407","AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY","1748-8842","20"
"A","408","AJAR-African Journal of AIDS Research","1608-5906","15"
"A","409","AJIDD-American Journal on Intellectual and Developmental Disabilities","1944-7515","40"
"A","410","AKTUELLE NEUROLOGIE","0302-4350","15"
"A","411","AKTUELLE RHEUMATOLOGIE","0341-051X","15"
"A","412","AKTUELLE UROLOGIE","0001-7868","15"
"A","413","ALCHERINGA","0311-5518","20"
"A","414","ALCOHOL","0741-8329","25"
"A","415","ALCOHOL ALCOHOLISM","0735-0414","35"
"A","416","ALCOHOL CLIN EXP RES","0145-6008","40"
"A","417","ALCOHOL RESEARCH & HEALTH","1535-7414","20"
"A","418","ALEA-Latin American Journal of Probability and Mathematical Statistics","1980-0436","15"
"A","419","Algebra & Number Theory","1937-0652","35"
"A","420","Algebra and Logic","0002-5232","25"
"A","421","ALGEBRA COLLOQUIUM","1005-3867","15"
"A","422","ALGEBRA UNIVERSALIS","0002-5240","20"
"A","423","Algebraic and Geometric Topology","1472-2739","25"
"A","424","ALGEBRAS AND REPRESENTATION THEORY","1386-923X","20"
"A","425","ALGORITHMICA","0178-4617","25"
"A","426","Algorithms for Molecular Biology","1748-7188","20"
"A","427","ALIMENTARY PHARMACOLOGY & THERAPEUTICS","0269-2813","35"
"A","428","ALLELOPATHY JOURNAL","0971-4693","20"
"A","429","ALLERGOLOGIA ET IMMUNOPATHOLOGIA","0301-0546","20"
"A","430","ALLERGOLOGIE","0344-5062","15"
"A","431","ALLERGY","0105-4538","45"
"A","432","ALLERGY AND ASTHMA PROCEEDINGS","1088-5412","20"
"A","433","Allergy Asthma & Immunology Research","2092-7355","25"
"A","434","ALLGEMEINE FORST UND JAGDZEITUNG","0002-5852","15"
"A","435","Alpine Botany","1664-2201","25"
"A","436","Alternative Medicine Review","1089-5159","45"
"A","437","ALTERNATIVES","0304-3754","20"
"A","438","ALTEX-Alternatives to Animal Experimentation","1868-596X","20"
"A","439","ALZHEIMER DISEASE & ASSOCIATED DISORDERS","0893-0341","35"
"A","440","Alzheimers & Dementia","1552-5260","45"
"A","441","Alzheimers Research & Therapy","1758-9193","40"
